아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일
송도푸르지오월드마크1단지,송도동,197.821,"175,000",2010,20,2024,1,13
용담마을,청학동,49.995,"22,400",1994,3,2024,1,24
뉴서울,선학동,84.53,"33,000",1992,4,2024,1,8
송도아메리칸타운아이파크,송도동,64.168,"61,000",2018,47,2024,1,30
랜드마크시티센트럴더샵,송도동,84.9999,"70,800",2020,37,2024,1,9
송도오션파크베르디움,송도동,84.795,"66,000",2020,22,2024,1,27
송도아메리칸타운아이파크,송도동,64.168,"62,500",2018,41,2024,1,6
더샵그린스퀘어,송도동,98.2428,"80,000",2014,36,2024,1,30
우성,옥련동,84.692,"29,700",1996,3,2024,1,9
e편한세상송도,송도동,70.5618,"55,000",2018,5,2024,1,25
동남,연수동,124.14,"39,000",1994,15,2024,1,31
효정,연수동,84.95,"35,000",1993,1,2024,1,19
e편한세상송도,송도동,84.4163,"64,500",2018,6,2024,1,30
송도에듀포레푸르지오,송도동,72.253,"66,000",2016,16,2024,1,20
송도더샵그린워크3차(18-1블럭),송도동,115.14,"95,000",2015,4,2024,1,26
백산2,옥련동,84.8,"25,700",1997,3,2024,1,31
더샵그린워크1차,송도동,84.3408,"76,500",2014,18,2024,1,22
송도풍림아이원3단지,송도동,84.94,"55,000",2005,13,2024,1,27
송도더샵하버뷰(D14),송도동,84.837,"72,500",2011,8,2024,1,28
주공3,연수동,44.66,"17,300",1993,7,2024,1,26
주공3,연수동,44.66,"16,500",1993,11,2024,1,26
더샵그린워크2차,송도동,84.3408,"77,000",2014,8,2024,1,18
건영,동춘동,84.945,"34,000",1994,1,2024,1,16
인향,연수동,84.975,"26,900",1992,4,2024,1,27
송도더샵파크애비뉴,송도동,68.64,"88,500",2018,29,2024,1,24
송도파크레인동일하이빌,동춘동,84.9044,"59,000",2019,28,2024,1,26
태산,연수동,84.56,"33,400",1993,9,2024,1,24
효정,연수동,84.95,"31,500",1993,8,2024,1,29
주공3,연수동,44.66,"18,000",1993,4,2024,1,22
태산,연수동,84.56,"34,400",1993,10,2024,1,18
송도더샵마스터뷰23-1BL,송도동,72.59,"67,500",2015,6,2024,1,31
건영,동춘동,84.945,"30,000",1994,5,2024,1,27
건영,동춘동,84.945,"30,500",1994,5,2024,1,20
건영,동춘동,84.945,"32,000",1994,1,2024,1,24
현대1,동춘동,84.97,"41,500",1993,1,2024,1,19
백산,옥련동,59.76,"18,000",1994,12,2024,1,26
성일,연수동,39.74,"15,900",1994,4,2024,1,25
더샵그린워크2차,송도동,117.8951,"87,000",2014,3,2024,1,27
한양1,동춘동,133.44,"58,000",1994,18,2024,1,31
뉴서울,선학동,84.53,"31,500",1992,12,2024,1,18
랜드마크시티센트럴더샵,송도동,95.8548,"81,000",2020,43,2024,1,13
송도더샵그린애비뉴8단지,송도동,101.9401,"96,000",2012,13,2024,1,26
우성2,연수동,40.5,"18,200",1994,2,2024,1,27
유천,연수동,84.87,"34,000",1993,11,2024,1,26
더샵송도센터니얼,송도동,84.98,"80,000",2023,27,2024,1,29
유천,연수동,60.07,"24,900",1993,3,2024,1,24
서해,옥련동,84.855,"26,000",1995,5,2024,1,31
유천,연수동,60.07,"28,000",1993,7,2024,1,26
더샵엑스포10단지,송도동,115.0662,"90,500",2009,16,2024,1,17
시대,청학동,49.585,"22,000",1994,2,2024,1,31
롯데캐슬캠퍼스타운,송도동,84.578,"76,000",2016,13,2024,1,25
송도자이하버뷰2단지,송도동,135.661,"132,500",2011,2,2024,1,22
송도오션파크베르디움,송도동,84.9128,"62,000",2020,2,2024,1,19
송도푸르지오하버뷰,송도동,162.3109,"155,000",2011,12,2024,1,30
랜드마크시티센트럴더샵,송도동,84.9999,"69,000",2020,23,2024,1,22
인천송도힐스테이트6단지,송도동,142.359,"92,000",2011,19,2024,1,19
송도더샵퍼스트파크F13-1BL,송도동,68.72,"79,750",2017,33,2024,1,25
송도아메리칸타운아이파크,송도동,64.168,"61,000",2018,47,2024,1,30
글로벌캠퍼스푸르지오,송도동,101.98,"76,000",2013,10,2024,1,25
더샵송도마리나베이,송도동,84.916,"79,500",2020,23,2024,1,24
솔밭마을아파트,연수동,49.56,"21,900",1993,15,2024,1,30
송도오션파크베르디움,송도동,84.9128,"60,000",2020,37,2024,1,26
랜드마크시티센트럴더샵,송도동,84.9999,"65,300",2020,3,2024,1,22
송도오션파크베르디움,송도동,75.9833,"60,000",2020,38,2024,1,6
세경,연수동,36.27,"14,000",1997,2,2024,1,22
송도풍림아이원4단지,송도동,84.7159,"56,500",2005,3,2024,1,27
동남,연수동,124.14,"39,000",1994,15,2024,1,31
세경,연수동,51.75,"22,000",1997,5,2024,1,26
"승기마을,연수1차시영",연수동,44.22,"17,700",1992,4,2024,1,29
송도더샵그린워크3차(17-1블럭),송도동,69.91,"66,000",2015,25,2024,1,19
베르디움더퍼스트,송도동,63.9487,"56,800",2017,3,2024,1,20
백산,옥련동,59.76,"16,400",1994,2,2024,1,20
e편한세상송도,송도동,70.5618,"56,500",2018,31,2024,1,20
송도자이하버뷰2단지,송도동,120.745,"126,000",2011,13,2024,1,30
송도더샵센트럴시티,송도동,59.97,"61,000",2018,42,2024,1,15
송도오션파크베르디움,송도동,84.795,"66,000",2020,22,2024,1,27
용담마을,청학동,49.995,"22,400",1994,3,2024,1,24
건영,동춘동,84.945,"32,000",1994,1,2024,1,24
용담마을,청학동,49.305,"23,000",1994,2,2024,1,27
송도더샵마스터뷰23-1BL,송도동,84.94,"94,000",2015,16,2024,1,13
송도오션파크베르디움,송도동,75.9833,"60,000",2020,38,2024,1,6
송도동일하이빌파크포레,동춘동,59.9786,"35,000",2019,2,2024,1,25
용담마을,청학동,49.995,"22,800",1994,2,2024,1,26
더샵송도마리나베이,송도동,84.2262,"64,000",2020,2,2024,1,29
송도더샵마스터뷰21BL,송도동,125.51,"143,000",2015,23,2024,1,24
세경,연수동,36.27,"15,600",1997,7,2024,1,30
동남,동춘동,52.14,"22,500",1994,11,2024,1,19
송도한진해모로,송도동,101.8519,"71,000",2006,17,2024,1,20
송도더샵하버뷰(D14),송도동,101.454,"89,000",2011,10,2024,1,21
송도한진해모로,송도동,84.9574,"57,100",2006,5,2024,1,13
송도더샵퍼스트파크F13-1BL,송도동,108.08,"124,000",2017,13,2024,1,11
송도풍림아이원1단지,송도동,84.7167,"61,500",2005,13,2024,1,23
세경,연수동,51.75,"22,300",1997,2,2024,1,23
송도오션파크베르디움,송도동,84.847,"65,000",2020,28,2024,1,26
송도더샵하버뷰(D14),송도동,101.454,"91,000",2011,13,2024,1,15
더샵송도마리나베이,송도동,84.9766,"63,000",2020,18,2024,1,12
더샵송도마리나베이,송도동,84.9766,"63,000",2020,18,2024,1,12
용담마을,청학동,49.305,"21,000",1994,2,2024,1,5
쌍용,옥련동,59.78,"25,000",1998,3,2024,1,19
송도풍림아이원2단지,송도동,84.94,"56,500",2005,5,2024,1,31
송도캐슬&해모로,송도동,139.0185,"79,000",2013,5,2024,1,25
뉴서울,선학동,84.53,"34,000",1992,16,2024,1,19
