아파트,법정동,전용면적,거래금액,건축년도,층,거래년,거래월,거래일,거래금액_숫자,전용면적_숫자,층_숫자,건축년도_숫자,평수,평당가격,건물연령,거래일자
용담마을,청학동,49.995,"22,400",1994,3,2024,1,24,22400.0,49.995,3,1994,15.1234875,1481.1398495221424,30,2024-01-24
뉴서울,선학동,84.53,"33,000",1992,4,2024,1,8,33000.0,84.53,4,1992,25.570325,1290.5584891861954,32,2024-01-08
송도아메리칸타운아이파크,송도동,64.168,"61,000",2018,47,2024,1,30,61000.0,64.168,47,2018,19.41082,3142.577181180393,6,2024-01-30
랜드마크시티센트럴더샵,송도동,84.9999,"70,800",2020,37,2024,1,9,70800.0,84.9999,37,2020,25.712469749999997,2753.527789760453,4,2024-01-09
송도오션파크베르디움,송도동,84.795,"66,000",2020,22,2024,1,27,66000.0,84.795,22,2020,25.6504875,2573.0505121978676,4,2024-01-27
송도아메리칸타운아이파크,송도동,64.168,"62,500",2018,41,2024,1,6,62500.0,64.168,41,2018,19.41082,3219.853669242206,6,2024-01-06
더샵그린스퀘어,송도동,98.2428,"80,000",2014,36,2024,1,30,80000.0,98.2428,36,2014,29.718447,2691.930705531147,10,2024-01-30
우성,옥련동,84.692,"29,700",1996,3,2024,1,9,29700.0,84.692,3,1996,25.619329999999998,1159.2809023499053,28,2024-01-09
e편한세상송도,송도동,70.5618,"55,000",2018,5,2024,1,25,55000.0,70.5618,5,2018,21.3449445,2576.72255835568,6,2024-01-25
동남,연수동,124.14,"39,000",1994,15,2024,1,31,39000.0,124.14,15,1994,37.55235,1038.5501839432154,30,2024-01-31
효정,연수동,84.95,"35,000",1993,1,2024,1,19,35000.0,84.95,1,1993,25.697375,1362.0068197627188,31,2024-01-19
e편한세상송도,송도동,84.4163,"64,500",2018,6,2024,1,30,64500.0,84.4163,6,2018,25.535930750000002,2525.852714414962,6,2024-01-30
송도에듀포레푸르지오,송도동,72.253,"66,000",2016,16,2024,1,20,66000.0,72.253,16,2016,21.8565325,3019.69216754762,8,2024-01-20
송도더샵그린워크3차(18-1블럭),송도동,115.14,"95,000",2015,4,2024,1,26,95000.0,115.14,4,2015,34.82985,2727.545481820909,9,2024-01-26
백산2,옥련동,84.8,"25,700",1997,3,2024,1,31,25700.0,84.8,3,1997,25.651999999999997,1001.8711991267738,27,2024-01-31
더샵그린워크1차,송도동,84.3408,"76,500",2014,18,2024,1,22,76500.0,84.3408,18,2014,25.513092,2998.460555075018,10,2024-01-22
송도풍림아이원3단지,송도동,84.94,"55,000",2005,13,2024,1,27,55000.0,84.94,13,2005,25.69435,2140.548408502258,19,2024-01-27
송도더샵하버뷰(D14),송도동,84.837,"72,500",2011,8,2024,1,28,72500.0,84.837,8,2011,25.6631925,2825.057716416225,13,2024-01-28
주공3,연수동,44.66,"17,300",1993,7,2024,1,26,17300.0,44.66,7,1993,13.509649999999999,1280.5661138519504,31,2024-01-26
주공3,연수동,44.66,"16,500",1993,11,2024,1,26,16500.0,44.66,11,1993,13.509649999999999,1221.349183731629,31,2024-01-26
더샵그린워크2차,송도동,84.3408,"77,000",2014,8,2024,1,18,77000.0,84.3408,8,2014,25.513092,3018.058336480737,10,2024-01-18
건영,동춘동,84.945,"34,000",1994,1,2024,1,16,34000.0,84.945,1,1994,25.695862499999997,1323.1702185517222,30,2024-01-16
인향,연수동,84.975,"26,900",1992,4,2024,1,27,26900.0,84.975,4,1992,25.704937499999996,1046.4915543949487,32,2024-01-27
송도더샵파크애비뉴,송도동,68.64,"88,500",2018,29,2024,1,24,88500.0,68.64,29,2018,20.7636,4262.266658960873,6,2024-01-24
송도파크레인동일하이빌,동춘동,84.9044,"59,000",2019,28,2024,1,26,59000.0,84.9044,28,2019,25.683580999999997,2297.187452170319,5,2024-01-26
태산,연수동,84.56,"33,400",1993,9,2024,1,24,33400.0,84.56,9,1993,25.5794,1305.7382112168386,31,2024-01-24
효정,연수동,84.95,"31,500",1993,8,2024,1,29,31500.0,84.95,8,1993,25.697375,1225.806137786447,31,2024-01-29
주공3,연수동,44.66,"18,000",1993,4,2024,1,22,18000.0,44.66,4,1993,13.509649999999999,1332.3809277072316,31,2024-01-22
태산,연수동,84.56,"34,400",1993,10,2024,1,18,34400.0,84.56,10,1993,25.5794,1344.8321696365044,31,2024-01-18
송도더샵마스터뷰23-1BL,송도동,72.59,"67,500",2015,6,2024,1,31,67500.0,72.59,6,2015,21.958475,3073.983962911814,9,2024-01-31
건영,동춘동,84.945,"30,000",1994,5,2024,1,27,30000.0,84.945,5,1994,25.695862499999997,1167.5031340162254,30,2024-01-27
건영,동춘동,84.945,"30,500",1994,5,2024,1,20,30500.0,84.945,5,1994,25.695862499999997,1186.9615195831625,30,2024-01-20
건영,동춘동,84.945,"32,000",1994,1,2024,1,24,32000.0,84.945,1,1994,25.695862499999997,1245.336676283974,30,2024-01-24
현대1,동춘동,84.97,"41,500",1993,1,2024,1,19,41500.0,84.97,1,1993,25.703425,1614.5708208147357,31,2024-01-19
백산,옥련동,59.76,"18,000",1994,12,2024,1,26,18000.0,59.76,12,1994,18.077399999999997,995.7184108334164,30,2024-01-26
성일,연수동,39.74,"15,900",1994,4,2024,1,25,15900.0,39.74,4,1994,12.02135,1322.6467909178255,30,2024-01-25
